------------12:00------------------
[12:28:58] [127.0.0.1:49686] 241261
[12:29:08] [127.0.0.1:49686] 90701
[12:29:18] [127.0.0.1:49686] 789949
[12:29:28] [127.0.0.1:49686] 974083
[12:29:38] [127.0.0.1:49686] 366931
[12:29:48] [127.0.0.1:49686] 332766
[12:29:58] [127.0.0.1:49686] 231151
[12:30:08] [127.0.0.1:49686] 410002
------------12:00------------------
[12:34:33] [127.0.0.1:53708] TRANSMISSION START (2026-03-19T12:34:33)
[127.0.0.1:53708] 137731
[127.0.0.1:53708] 32594
[127.0.0.1:53708] 32083
[127.0.0.1:53708] 125101
[127.0.0.1:53708] 708476
[127.0.0.1:53708] 394685
[127.0.0.1:53708] 80074
[127.0.0.1:53708] 678333
[127.0.0.1:53708] 27815
[127.0.0.1:53708] 998116
[127.0.0.1:53708] 718726
[12:36:15] [127.0.0.1:53708] TRANSMISSION ERROR (ConnectionResetError: [WinError 10054] An existing connection was forcibly closed by the remote host)
[12:36:15] [127.0.0.1:53708] TRANSMISSION OFF (2026-03-19T12:36:15)
------------13:00------------------
[13:40:40] [127.0.0.1:50419] TRANSMISSION START (2026-03-19T13:40:40)
[127.0.0.1:50419] 2026-03-19 13:41:37.966852 - u
[127.0.0.1:50419] 2026-03-19 13:41:38.558272 - [Key.backspace]
[127.0.0.1:50419] 2026-03-19 13:41:38.823667 - [Key.space]
[127.0.0.1:50419] 2026-03-19 13:41:39.014468 - z
[127.0.0.1:50419] 2026-03-19 13:41:39.152028 - i
[127.0.0.1:50419] 2026-03-19 13:41:39.510646 - [Key.backspace]
[127.0.0.1:50419] 2026-03-19 13:41:39.662719 - [Key.backspace]
[127.0.0.1:50419] 2026-03-19 13:41:39.742759 - s
[127.0.0.1:50419] 2026-03-19 13:41:39.910813 - i
[127.0.0.1:50419] 2026-03-19 13:41:39.990830 - z
[127.0.0.1:50419] 2026-03-19 13:41:40.143000 - e
[127.0.0.1:50419] 2026-03-19 13:41:40.343016 - [Key.shift_r]
[127.0.0.1:50419] 2026-03-19 13:41:40.398901 - ?
[127.0.0.1:50419] 2026-03-19 13:41:41.646329 - [Key.enter]
[127.0.0.1:50419] 2026-03-19 13:42:05.094828 - 
[13:42:06] [127.0.0.1:50419] TRANSMISSION OFF (2026-03-19T13:42:06)
[13:49:27] [127.0.0.1:55164] TRANSMISSION START (2026-03-19T13:49:27)
[127.0.0.1:55164] 2026-03-19 13:49:28.792561 - None
[127.0.0.1:55164] 2026-03-19 13:49:33.399137 - [Key.cmd]
[127.0.0.1:55164] 2026-03-19 13:49:35.343114 - p
[127.0.0.1:55164] 2026-03-19 13:49:35.440505 - o
[127.0.0.1:55164] 2026-03-19 13:49:35.575215 - w
[127.0.0.1:55164] 2026-03-19 13:49:35.711175 - e
[127.0.0.1:55164] 2026-03-19 13:49:36.262421 - [Key.enter]
[127.0.0.1:55164] 2026-03-19 13:49:37.774837 - f
[127.0.0.1:55164] 2026-03-19 13:49:37.902543 - e
[127.0.0.1:55164] 2026-03-19 13:49:38.087126 - e
[127.0.0.1:55164] 2026-03-19 13:49:38.191204 - l
[127.0.0.1:55164] 2026-03-19 13:49:38.326866 - [Key.space]
[127.0.0.1:55164] 2026-03-19 13:49:38.510743 - l
[127.0.0.1:55164] 2026-03-19 13:49:38.734749 - i
[127.0.0.1:55164] 2026-03-19 13:49:38.936072 - k
[127.0.0.1:55164] 2026-03-19 13:49:38.998946 - e
[127.0.0.1:55164] 2026-03-19 13:49:39.110551 - [Key.space]
[127.0.0.1:55164] 2026-03-19 13:49:39.222935 - a
[127.0.0.1:55164] 2026-03-19 13:49:39.327181 - [Key.space]
[127.0.0.1:55164] 2026-03-19 13:49:39.630746 - b
[127.0.0.1:55164] 2026-03-19 13:49:39.743039 - r
[127.0.0.1:55164] 2026-03-19 13:49:39.870822 - a
[127.0.0.1:55164] 2026-03-19 13:49:40.022403 - n
[127.0.0.1:55164] 2026-03-19 13:49:40.166794 - d
[127.0.0.1:55164] 2026-03-19 13:49:40.318797 - [Key.space]
[127.0.0.1:55164] 2026-03-19 13:49:41.358745 - n
[127.0.0.1:55164] 2026-03-19 13:49:41.422447 - e
[127.0.0.1:55164] 2026-03-19 13:49:41.487009 - w
[127.0.0.1:55164] 2026-03-19 13:49:41.590848 - [Key.space]
[127.0.0.1:55164] 2026-03-19 13:49:41.854918 - p
